date,year,month,day,decimal,co2_molfrac,day_of_year,co2_30d_avg,co2_365_avg,daily_diff,monthly_diff,pct_change
1974-05-31,1974.0,5.0,25.09,1974.39,333.14,145.09,333.32,333.32,-0.02,,
1974-06-30,1974.0,6.0,16.16,1974.46,332.17,167.16,332.66,332.72,-0.06,-0.9699999999999704,-0.29116887794919943
1974-07-31,1974.0,7.0,15.42,1974.54,331.11,196.42,331.7,332.2,-0.07,-1.0600000000000023,-0.3191137068368599
1974-08-31,1974.0,8.0,16.62,1974.62,329.11,228.62,330.02,331.49,-0.08,-2.0,-0.6040288725801091
1974-09-30,1974.0,9.0,16.45,1974.71,327.3,259.45,328.11,330.66,-0.02,-1.8100000000000023,-0.5499680957734454
1974-10-31,1974.0,10.0,16.88,1974.79,327.3,289.88,327.16,329.99,-0.0,0.0,0.0
1974-11-30,1974.0,11.0,14.77,1974.87,328.27,318.77,327.75,329.61,0.04,0.9699999999999704,0.29636419187288876
1974-12-31,1974.0,12.0,16.79,1974.96,329.61,350.79,328.98,329.5,0.06,1.3400000000000318,0.4082005666067756
1975-01-31,1975.0,1.0,16.33,1975.04,330.75,16.33,330.26,329.61,0.02,1.1399999999999864,0.34586329298260665
1975-02-28,1975.0,2.0,14.77,1975.12,331.47,45.77,331.14,329.8,0.02,0.7200000000000273,0.21768707482994198
1975-03-31,1975.0,3.0,14.82,1975.2,331.9,73.82,331.69,329.96,0.03,0.42999999999995,0.1297251636648733
1975-04-30,1975.0,4.0,15.7,1975.29,333.12,105.7,332.65,330.15,0.08,1.2200000000000273,0.36758059656523123
1975-05-31,1975.0,5.0,15.71,1975.37,333.95,135.71,333.59,330.43,-0.0,0.8299999999999841,0.2491594620557036
1975-06-30,1975.0,6.0,14.74,1975.45,333.46,165.74,333.75,330.58,-0.02,-0.4900000000000091,-0.1467285521784767
1975-07-31,1975.0,7.0,15.08,1975.53,332.04,196.08,332.82,330.68,-0.07,-1.419999999999959,-0.4258381814910228
1975-08-31,1975.0,8.0,16.42,1975.62,329.92,228.42,330.94,330.75,-0.1,-2.1200000000000045,-0.6384772918925474
1975-09-30,1975.0,9.0,16.73,1975.71,328.46,259.73,329.02,330.83,-0.03,-1.4600000000000364,-0.4425315227934101
1975-10-31,1975.0,10.0,20.0,1975.8,328.48,293.0,328.27,331.0,0.07,0.020000000000038654,0.0060890214942599385
1975-11-30,1975.0,11.0,12.39,1975.86,329.23,316.39,328.9,331.13,0.05,0.75,0.22832440331221893
